title,average_rating,images,details,captioning,is_person,face_attribute,is_text,scene,object_count,dominant_color,num_images
"Howard LC0008 Leather Conditioner, 8-Ounce (4-Pack)",4.8,"https://m.media-amazon.com/images/I/41qfjSfqNyL.jpg, https://m.media-amazon.com/images/I/41w2yznfuZL.jpg","{""Package Dimensions"": ""7.1 x 5.5 x 3 inches; 2.38 Pounds"", ""UPC"": ""617390882781""}","The image shows a bottle of Howard Leather Conditioner, which is designed to restore and revive leather by penetrating, preserving, and protecting it., The image shows four bottles of Boar's Head Leather Conditioner, each with a yellow label and black cap, arranged in a 2x2 grid.","No., No.","No., No.","Yes., Yes.","unsure, unsure","1, 4","Yellow, Yellow",2
"Yes to Tomatoes Detoxifying Charcoal Cleanser (Pack of 2) with Charcoal Powder, Tomato Fruit Extract, and Gingko Biloba Leaf Extract, 5 fl. oz.",4.5,"https://m.media-amazon.com/images/I/41b+11d5igL.jpg, https://m.media-amazon.com/images/I/41j2ocUzCtL.jpg","{""Item Form"": ""Powder"", ""Skin Type"": ""Acne Prone"", ""Brand"": ""Yes To"", ""Age Range (Description)"": ""Adult"", ""Unit Count"": ""10 Fl Oz"", ""Is Discontinued By Manufacturer"": ""No"", ""Item model number"": ""SG_B076WQZGPM_US"", ""UPC"": ""653801351125"", ""Manufacturer"": ""Yes to Tomatoes""}","The image shows a bottle of Yes to Tomatoes Clear Skin Detoxifying Charcoal Cleanser, which is designed for acne-prone skin and contains salicy, The image shows the back label of a bottle containing a topical acne treatment, detailing active ingredients, drug facts, warnings, and directions for use.","No., No.","No., No.","Yes., Yes.","unsure, indoor","1, 1","Red, Red",2
Eye Patch Black Adult with Tie Band (6 Per Pack),4.4,"https://m.media-amazon.com/images/I/31bz+uqzWCL.jpg, https://m.media-amazon.com/images/I/31bz+uqzWCL.jpg","{""Manufacturer"": ""Levine Health Products""}","The image shows a black eye mask with an adjustable strap for securing it around the head., The image shows a black eye mask with an adjustable strap, designed for covering the eyes during sleep or relaxation.","No., No.","No., No.","No, No.","indoor, indoor","1, 1","Black, Black",2
"Tattoo Eyebrow Stickers, Waterproof Eyebrow, 4D Imitation Eyebrow Tattoos, 4D Hair-like Authentic Eyebrows Waterproof Long Lasting for Woman & Man Makeup Tool",3.1,"https://m.media-amazon.com/images/I/515iwxdKS1L.jpg, https://m.media-amazon.com/images/I/51ALSVnGDML.jpg, https://m.media-amazon.com/images/I/51GvPall-ML.jpg, https://m.media-amazon.com/images/I/51JFEUql-KL.jpg, https://m.media-amazon.com/images/I/414rIT4vNAL.jpg, https://m.media-amazon.com/images/I/41JVLUdtYaL.jpg, https://m.media-amazon.com/images/I/51Vxn6nVrVL.jpg","{""Brand"": ""Cherioll"", ""Item Form"": ""Powder"", ""Finish Type"": ""Natural"", ""Product Benefits"": ""Long Lasting"", ""Skin Type"": ""All"", ""Package Dimensions"": ""8.43 x 5.91 x 0.87 inches; 8.78 Ounces"", ""Item model number"": ""eyebrow sticker001""}","The image shows a product packaging for Cherroll 4D Hair-Like Authentic Eyebrow Stickers, which includes a tattoo makeup remover, three sheets of, The image shows a set of temporary tattoo eyebrows with the text ""TATTOO"" and additional descriptors like ""Waterproof,"" ""Breathable,"" and, The image shows a set of temporary tattoo eyebrows with the text ""TATTOO"" and ""Waterproof, Breathable, Non-toxic"" on the, The image shows a set of temporary tattoo eyebrows with the text ""TATTOO"" and additional descriptors like ""Waterproof,"" ""Breathable,"" and, The image shows a ""before and after"" comparison of a person's face, highlighting the effects of a cosmetic procedure or treatment on their skin texture and appearance., The image shows a set of eyebrow stickers, including 3 packs with 11 pairs each, along with a bottle of tattoo makeup remover and a pack of, The image showcases a product advertisement for ""4D Hair-Like Authentic Eyebrows,"" highlighting its ease of use and mess-free application, with a woman demonstrating","No., Yes., Yes., Yes., Yes., No., Yes.","Yes., Yes., Yes., Yes., Yes., Yes., Yes.","Yes., Yes., Yes., Yes., Yes., Yes., Yes.","indoor, indoor, indoor, indoor, indoor, Unsure, indoor","5, 1, 1, 1, 0, 3, 1","White, White, White, White, Skin tone, White, White",7
Precision Plunger Bars for Cartridge Grips – 93mm – Bag of 10 Plungers,4.3,https://m.media-amazon.com/images/I/31TgqAZ8kQL.jpg,"{""UPC"": ""644287689178""}","The image shows three metal skewers with eyelets at the top and pointed tips at the bottom, likely used for cooking or serving food.",No.,No.,No.,unsure,3,Silver,1
Lurrose 100Pcs Full Cover Fake Toenails Artificial Transparent Nail Tips Nail Art for DIY,3.7,"https://m.media-amazon.com/images/I/31dlCd7tHSL.jpg, https://m.media-amazon.com/images/I/31sLajrdHOL.jpg, https://m.media-amazon.com/images/I/31LG1yvB0hL.jpg, https://m.media-amazon.com/images/I/41q5YGRiRuL.jpg, https://m.media-amazon.com/images/I/31FY+Q1zxjL.jpg, https://m.media-amazon.com/images/I/41TVchNHu7L.jpg, https://m.media-amazon.com/images/I/41tjcF6Ic1L.jpg, https://m.media-amazon.com/images/I/41xSsQx5uVL.jpg, https://m.media-amazon.com/images/I/41dmyUCN+tL.jpg","{""Color"": ""As Shown"", ""Size"": ""Large"", ""Material"": ""Acrylonitrile Butadiene Styrene (ABS)"", ""Brand"": ""Lurrose"", ""Style"": ""French"", ""Product Dimensions"": ""5.63 x 2.83 x 0.39 inches; 1.9 Ounces"", ""UPC"": ""799768026253"", ""Manufacturer"": ""Lurrose""}","The image shows a set of clear, transparent nail tips arranged in two rows, with larger sizes on the top and smaller sizes on the bottom., The image shows 100 clear plastic nail tips arranged in two rows, with the top row containing larger tips and the bottom row containing smaller tips., The image shows a set of clear, transparent nail tips arranged in two rows against a black background., The image displays a series of cylindrical metal components with varying diameters and heights, arranged in two rows, each labeled with their respective dimensions., The image displays various types of nail extensions, including square, oval, and half-moon shapes, arranged against a black background., The image shows a collection of clear, half-moon-shaped nail tips arranged on a dark surface., The image shows a clear plastic storage box with multiple compartments, each containing small, transparent plastic pieces that appear to be nail art tips or similar items., The image shows a set of clear plastic furniture leg caps arranged neatly, with a vase of tulips in the background adding a decorative touch to the scene., The image shows a set of clear, acrylic nail tips arranged on a pastel pink and purple watercolor background.","No., No., No., No., No., No., No., No., No.","No., No., No., No., No., No., No., No., No.","No., Yes., No., Yes., No., No., No, No, No","unsure, indoor, indoor, indoor, indoor, indoor, indoor, Indoor, Unsure","10, 100, 10, 12, 6, 12, 1, 10, 10","Clear, Clear, Clear, Silver, Blue, Clear, Clear, Clear, Pink",9
Stain Bonnet For Baby Bonnet Silk Sleep Cap For Toddler Child Shower Cap Teens Kids,4.1,"https://m.media-amazon.com/images/I/51s4A5hDsPL.jpg, https://m.media-amazon.com/images/I/51mGQ66k8mS.jpg, https://m.media-amazon.com/images/I/5122qYD4KNL.jpg, https://m.media-amazon.com/images/I/61gq01uu39L.jpg, https://m.media-amazon.com/images/I/61tR+Q7HguL.jpg","{""Brand"": ""Edoneery"", ""Material"": ""Silk"", ""Number of Items"": ""1"", ""Size"": ""1 Count (Pack of 1)"", ""Inner Material"": ""100 Silk"", ""Package Dimensions"": ""10 x 5.79 x 0.75 inches; 0.63 Ounces""}","The image shows a baby wearing a pink bonnet adorned with colorful cartoon prints, including whales and other sea creatures., The image shows a pink shower cap with a playful design featuring whales and other sea creatures, along with text indicating its perimeter size of 16 to 1, The image shows a circular plate with a playful design featuring cartoon whales and bubbles, predominantly in pink and yellow tones, with a measurement indicating it is 10, The image shows a close-up of a pink fabric with playful, colorful patterns featuring sea creatures and abstract shapes., The image shows a fabric with a playful pattern featuring cartoonish fish and floral motifs in soft pastel colors, primarily pink, yellow, and white.","Yes., No., No., No., No.","Yes., No, No, No, No.","No, Yes., Yes., No, No","Indoor, Indoor, Indoor, Indoor, Indoor","1, 1, 1, 1, 1","Pink, Pink, Pink, Pink, Pink",5
50 Pieces False Eyelash Packaging Box Empty Eyelash Box Plastic Eyelash Storage Case with Glitter Paper and Clear Tray for Women Girls Eyelash (Holographic),3.8,"https://m.media-amazon.com/images/I/51SweLNm8bL.jpg, https://m.media-amazon.com/images/I/51s9ZONkn9L.jpg, https://m.media-amazon.com/images/I/51YfvGFCm9L.jpg, https://m.media-amazon.com/images/I/5155jtJZ1hL.jpg, https://m.media-amazon.com/images/I/511a4-2AxcL.jpg, https://m.media-amazon.com/images/I/51ZL+Kl4lhL.jpg, https://m.media-amazon.com/images/I/51ziOBMfK+L.jpg","{""Package Dimensions"": ""14.49 x 11.26 x 2.36 inches; 2.65 Pounds""}","The image shows multiple stacks of clear plastic cases with holographic labels, each containing pairs of false eyelashes., The image shows 50 sets of false eyelashes packaged in holographic cases, with a label indicating the quantity., The image showcases a set of false eyelashes in holographic packaging, accompanied by makeup items such as brushes and a palette, all arranged on a black surface with, A person with long blonde hair is wearing a black strapless top and round sunglasses, holding up a colorful object in their left hand against a teal background., The image features a person wearing a vibrant pink headband and holding colorful false eyelashes against a bright pink background., Two women are posing with colorful items, including a glass, an orange slice, and a box of false eyelashes, against a pink background., A woman is sitting on a yellow couch, holding a makeup product and recording a video with a camera set up in front of her.","No., No., No., Yes., Yes., Yes., Yes.","No., No., No., Yes., Yes., Yes., Yes.","No., Yes., No, No, No, No, No","indoor, indoor, indoor, Indoor, Indoor, Indoor, Indoor","20, 50, 5, 2, 2, 2, 5","Clear, Pink, Pink, Blue, Pink, Pink, Yellow",7
Gold extatic Musk EDT 90ml,3.7,https://m.media-amazon.com/images/I/51AhKg3vsyL.jpg,"{""Brand"": ""Balmain"", ""Item Form"": ""Spray"", ""Item Volume"": ""90 Milliliters"", ""Age Range (Description)"": ""Adult"", ""Style"": ""Modern"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""2.76 x 5.79 x 2.76 inches; 13.33 Ounces"", ""Item model number"": ""BA008A01"", ""Manufacturer"": ""Balmain""}","The image showcases the ""Extatic Gold Musk"" perfume by Balmain Paris, featuring a sleek white bottle with gold accents and a matching box with a shimmering",No.,No.,Yes.,indoor,2,White,1
"4 Pieces Satin Bonnet Adjustable Sleep Cap Double Layer Printed Hair Bonnet Large Reversible Sleeping Silk Night Hair Cap for Women Natural Curly Hair (Floral, Flamingo, Flower)",4.3,"https://m.media-amazon.com/images/I/61an2j0EYJL.jpg, https://m.media-amazon.com/images/I/51bnYP7Y8bL.jpg, https://m.media-amazon.com/images/I/610hciyDWdL.jpg, https://m.media-amazon.com/images/I/51tqK59dlCL.jpg, https://m.media-amazon.com/images/I/51oiNU4MnNL.jpg, https://m.media-amazon.com/images/I/51fk5BtRMpL.jpg, https://m.media-amazon.com/images/I/51jZ9-Xe97L.jpg","{""Package Dimensions"": ""12.49 x 9.97 x 1.46 inches; 7.51 Ounces""}","The image shows four satin-lined shower caps with floral patterns, each featuring a black strap for securing them on the head., The image showcases a value pack of four reusable menstrual pads, each with a different floral pattern and labeled for water absorption levels, emphasizing their double-layer waterproof design,, The image showcases a set of satin bonnets with floral patterns, featuring an adjustable elastic band for a comfortable fit., The image shows a person holding a floral-patterned shower cap with an elastic band design, emphasizing that it does not tighten the head., The image shows a double-layered satin bonnet with a floral pattern on the top layer and a solid satin bottom, designed for full hair coverage., The image shows a product recommendation for using a shower cap on dry hair, with illustrations of a smiling person and a comb to indicate its use on dry hair,, The image showcases a red floral shower cap with multiple uses, including sleep, facial mask application, face care, bathing, and home cleaning, as indicated by the","No., No., No., No., No., Yes., Yes.","No., No., No., No., No, Yes., Yes.","No., Yes., Yes., Yes., Yes., Yes., Yes.","Indoor, Indoor, Indoor, indoor, Indoor, indoor, indoor","4, 4, 4, 1, 1, 4, 1","Red, Black, Red, Black, Black, White, Red",7
